athlete,sport,substance_reason,sanction_terms,sanction_announced
"gilbert, joshua",weightlifting,furosemide and non-analytical: refusal to submit to sample collection,3-year suspension - loss of results,07/17/2012
"ferrari, michele",cycling - athlete support personnel,non-analytical,lifetime suspension,07/10/2012
"solo, hope",soccer,canrenone,public warning,07/09/2012
"lee, stephany",wrestling,cannabinoids,1-year suspension - loss of results; second violation,06/28/2012
"madsen, angela","paralympic track and field, paralympic rowing",fentanyl,public warning - loss of results,06/22/2012
"stacy, shelby",cycling,methylhexaneamine,6-month suspension - loss of results,06/16/2012
"shields, jerry",paralympic archery,"hydrochlorothiazide, chlorothiazide, triamterene and labetalol",public warning - loss of results,04/27/2012
"lock, jane",judo,non-analytical: 3 whereabouts failures,2-year suspension - loss of results,04/20/2012
"mendes, patrick",weightlifting,human growth hormone (hgh),2-year suspension - loss of results,04/16/2012
"kochem, matt",rowing,non-analytical: 3 whereabouts failures,1-year suspension - loss of results,04/13/2012
"robertson, todd",cycling,erythropoietin (epo),2-year suspension with 9 month reduction - loss of results,03/30/2012
"rodgers, michael",track and field,methylhexaneamine,9-month suspension - loss of results,03/01/2012
"thompson, lenroy",boxing,non-analytical: 3 whereabouts failures,1-year suspension - loss of results,02/26/2012
"arias, luis",boxing,non-analytical: 3 whereabouts failures,1-year suspension - loss of results,02/24/2012
"brandt-sorenson, nick",cycling,efaproxiral,2-year suspension - loss of results,01/13/2012
"bates, jessie",taekwondo,methylhexaneamine,1-year suspension with 2-month reduction - loss of results,12/05/2011
"allen, damon",boxing,furosemide,6-month suspension - loss of results,11/29/2011
"spuehler, pamela",field hockey,canrenone,2-month suspension - loss of results,11/23/2011
"diamond, michael",cycling,non-analytical: refusal to submit to sample collection,2-year suspension - loss of results,11/18/2011
"tadd, nathaniel",taekwondo,methylhexaneamine,2-year suspension - loss of results; sanction was tolled due to whereabouts compliance failure,11/17/2011
"kieser, frederic",track and field,methylhexaneamine,8-month suspension - loss of results,10/27/2011
"miller, michael",cycling,methylhexaneamine,8 month suspension - loss of results,10/26/2011
"duhon, byron",track and field,non-analytical: refusal to submit to sample collection,2-year suspension - loss of results,10/25/2011
"papp, joseph",cycling,non-analytical: distributing,lifetime suspension with reduction to 8-year suspension - loss of results; second violation,10/21/2011
"jager, kathleen",track and field,androgenic anabolic steroid,2-year suspension - loss of results,10/18/2011
"hunter, michael",boxing,cannabinoids,3-month suspension with 3-month deferral - loss of results,10/11/2011
"lorenz, john",wrestling,clomiphene,2-year suspension - loss of results,10/10/2011
"dibuono, matthew",track and field,androgenic anabolic steroid,4-year suspension - loss of results,10/07/2011
"hernandez, roger",cycling,non-analytical: refusal to submit to sample collection,2-year suspension - loss of results,10/06/2011
"shumaker, stephen",track and field,androgenic anabolic steroid,2-year suspension - loss of results,09/30/2011
"clinger, david",cycling,clenbuterol,lifetime suspension - loss of results; second violation,08/12/2011
"dodson, amy","paralympic track and field, paralympic triathlon",oxilofrine,6-month suspension - loss of results,07/22/2011
"brown, matthew",paralympic track and field,cannabinoids,3-month suspension with 3-month deferral - loss of results,07/18/2011
"webster, joshua",cycling,methylhexaneamine & phenpromethamine,2-year suspension - loss of results,07/15/2011
"reis, fernando",weightlifting,methylhexaneamine,6-month suspension - loss of results,07/14/2011
"quintero, lisban",cycling,19-norandrosterone (19-na) and 19-noretiocholanolone,2-year suspension - loss of results,07/01/2011
"jones, harrison",diving,cannabinoids,1-year suspension - loss of results,06/17/2011
"zajicek, philip",cycling,non-analytical: purchase (epo),lifetime suspension - loss of results; second violation,06/10/2011
"nguyen, jonathan",taekwondo,methylhexaneamine,6-month suspension - loss of results,05/27/2011
"freeman, thomas",track and field,cannabinoids,1-year suspension - loss of results; second violation,05/26/2011
"cannell, peter",cycling,drostanolone,2-year suspension - loss of results,04/08/2011
*name removed,cycling,testosterone metabolites (exogenous origin),2-year suspension - loss of results,
"tilin, andrew",cycling,non-analytical: use (testosterone & dhea),2-year suspension - loss of results,04/01/2011
"block, mark",track and field - athlete support personnel,non-anatlyical: administration and trafficking,10 year suspension,03/17/2011
*name removed,paralympic alpine skiing,acetazolamide,public warning - loss of results,
"oliveira, flavia",cycling,oxilofrine,18-month suspension - loss of results,original: 04/13/2010; updated 12/10/2010
"coyle, chuck",cycling,"non-analytical: possession, use and possession (epo, igf-1)",2-year suspension - loss of results,11/24/2010
"schubel, neal",cycling,"non-analytical: purchase, possession and use (epo)",2-year suspension - loss of results,11/24/2010
*name removed,rowing,formoterol and budesonide,public warning - loss of results,
"clay, ramon",track and field,non-analytical: use and possession,2-year suspension - loss of results,10/22/2010
"merritt, lashawn",track and field,androgenic anabolic steroid,21-month suspension - loss of results,10/18/2010
"o'bee, kirk",cycling,erythropoietin (epo),lifetime - loss of results; second violation,10/06/2010
"mahoney, sean",swimming,methylhexaneamine,6-month suspension - loss of results,10/01/2010
"chodroff, jonathan",cycling,non-analytical: use and possession (epo),2-year suspension - loss of results,09/17/2010
"goff, tyler",speedskating,non-analytical: 3 whereabouts failures,1-year suspension - loss of results,09/13/2010
"dickey, duane",cycling,"non-analytical: refusal to submit to sample collection, possession and use (epo)",lifetime suspension - loss of results,09/10/2010
*name removed,cycling,cannabinoids,3-month suspension with 3-month deferral - loss of results,
"lukezic, chris",track and field,non-analytical: refusal to submit to sample collection,2-year suspension - loss of results,09/02/2010
"jelks, mark",track and field,non-analytical: 3 whereabouts failures,2-year suspension - loss of results,08/30/2010
"barnette, brandon",roller sports,non-analytical: 3 whereabouts failures,1-year suspension - loss of results,08/25/2010
*name removed,track and field,cannabinoids,3-month suspension with 3-month deferral - loss of results,
"wilmoth, joel",paralympic rugby,non-analytical: refusal to submit to sample collection,2-year suspension - loss of results,08/09/2010
*name removed,water polo,cannabinoids,3-month suspension with 3-month deferral - loss of results,
"devine, matthew",weightlifting,androgenic anabolic steroid,2-year suspension - loss of results,07/16/2010
"stewart, raymond",track and field - athlete support personnel,non-analytical: trafficking and administering,lifetime suspension,06/28/2010
"cochran, jerren",boxing,furosemide,2-year suspension - loss of results,06/11/2010
"gomez, jesus",boxing,non-analytical: refusal to submit to sample collection,2-year suspension - loss of results,06/10/2010
*name removed,basketball,non-analytical: tampering,6-month suspension,
*name removed,basketball,non-analytical: tampering,2-year suspension with 112 day increase for playing during suspension,
"cosby-toruga, jessica",track and field,hydrochlorothiazide & chlorothiazide,4 month suspension - loss of results,05/10/2010
*name removed,taekwondo,hydrochlorothiazide & chlorothiazide,6-month suspension - loss of results,
"jones, randy",bobsled and skeleton,non-analytical: refusal to submit to sample collection,2-year suspension - loss of results,04/26/2010
"jones, harrison",diving,cannabinoids,3-month suspension with 3-month deferral - loss of results,04/13/2010
"zirbel, tom",cycling,androgenic anabolic steroid,2-year sanction with 30% reduction - loss of results,04/02/2010
"clinger, david",cycling,androgenic anabolic steroid and modafinil,2-year suspension - loss of results,03/19/2010
*name removed,track and field,cannabinoids,3-month suspension with 3-month deferral - loss of results,
"barnwell, val",track and field,testosterone prohormones,2-year suspension - loss of results,03/03/2010
"ross, duane",track and field,non-analytical positive,2-year suspension - loss of results,02/05/2010
"cox, crystal",track and field,non-analytical: use,4-year suspension - loss of results; second violation,01/29/2010
"ellenwood, garfield",track and field,non-analytical,2-year suspension - loss of results,01/28/2010
*name removed,track and field,methylhexanamine,6-month suspension - loss of results,
*name removed,cycling,cannabinoids,3-month suspension with 3-month deferral - loss of results,
"o'neil, joshua",judo,methylphenidate metabolite ritalinic acid,2-year suspension - loss of results,12/17/2009
"williams, kenneth",cycling,androgenic anabolic steroid,2-year suspension - loss of results  suspension extended 103 days,12/03/2009
*name removed,cycling,cannabinoids,3-month suspension with 3-month deferral - loss of results,
"comardo, mitch",cycling,"tamoxifen and its metabolite, anastrozole, letrozole, human chorionic gonadotrophin (hcg), and clomiphene",2-year suspension - loss of results,10/06/2009
"manning, joy",team handball,cannabinoids,2-year suspension - loss of results,09/07/2009
*name removed,cycling,cannabinoids,3-month suspension with 3-month deferral - loss of results,
"hamilton, tyler",cycling,androgenic anabolic steroid,8-year suspension - loss of results; second violation,06/16/2009
*name removed,paralympic alpine skiing,cannabinoids,3-month suspension with 3-month deferral - loss of results,
"lee, stephany",wrestling,cannabinoids,3-month suspension with 3-month deferral - loss of results,05/13/2009
*name removed,skiing and snowboarding,cannabinoids,3-month suspension - loss of results,
*name removed,swimming,clenbuterol,1-year suspension - loss of results,
*name removed,paralympic sled hockey,cannabinoids,3-month suspension with 3-month deferral - loss of results,
*name removed,cycling,strychnine,2-year suspension - loss of results,
"freeman, thomas",track and field,cannabinoids,3-month suspension with 3-month deferral - loss of results,04/16/2009
"burns, samuel",rowing,non-analytical: refusal to submit to sample collection,2-year suspension - loss of results,04/10/2009
"vaden, jordan",track and field,stanozolol metabolites,2-year suspension - loss of results,02/06/2009
"sagmeister, leann",paralympic track and field,non-analytical: refusal to submit to sample collection,2-year suspension - loss of results,01/29/2009
*name removed,swimming,hydrochlorothiazide and triamterene,6-month suspension,
"pope, mitchell",track and field,boldenone metabolite,2-year suspension - loss of results,01/23/2009
"leogrande, kayle",cycling,non-analytical: use (epo),2-year suspension - loss of results,12/01/2008
*name removed,weightlifting,non-analytical: missed tests,2-year suspension - loss of results,
*name removed,shooting,hydrochlorothiazide and chlorothiazide,6-month suspension - loss of results,
*name removed,cycling,androgenic anabolic steroid,2-year suspension - loss of results,
*name removed,cycling,19-norandrosterone (19-na) and boldenone,2-year suspension - loss of results,
"graham, trevor",track and field - athlete support personnel,non-analytical,lifetime suspension,07/15/2008
*name removed,weightlifting,androgenic anabolic steroid,2-year suspension - loss of results,
"young, jerome",track and field,erythropoietin (epo) and non-analytical: use (epo & hgh),lifetime suspension - loss of results,original: 11/10/2004; updated: 06/17/2008
*name removed,track and field,testosterone,4-year suspension - loss of results,
*name removed,track and field,non-analytical: use,2-year suspension - loss of results,
*name removed,table tennis,cannabinoids,2-year suspension - loss of results; second violation,
*name removed,weightlifting,cannabinoids,2-year suspension - loss of results,
"alfred, stephen",cycling,non-analytical: refusal to submit to sample collection,lifetime suspension; third violation,02/05/2008
*name removed,wrestling,cannabinoids,2-year suspension - loss of results; second violation,
*name removed,cycling,clomiphene,2-year suspension - loss of results,
*name removed,racquetball,non-analytical: refusal to submit to sample collection,2-year suspension - loss of results,
*name removed,track and field,non-analytical: use,2-year suspension - loss of results,
*name removed,wrestling,6a-hydroxyandrostendione,2-year suspension,
*name removed,cycling,androgenic anabolic steroid,2-year suspension - loss of results,
*name removed,paralympic track and field,benzoylecgonine,2-year suspension - loss of results,
"bell, kenwood (kenta)",track and field,methylprednisolone,3-month suspension with 3-month deferral - loss of results,07/30/2007
"papp, joseph",cycling,non-analytical positive,2-year suspension - loss of results,05/25/2007
*name removed,weightlifting,non-analytical: refusal to submit to sample collection,2-year suspension - loss of results,
"korchemny, remi",track and field - athlete support personnel,non-analytical,lifetime suspension,03/12/2007
"alfred, stephen",cycling,androgenic anabolic steroid & human chorionic gonadotrophin (hcg),8-year suspension - loss of results,02/02/2007
*name removed,weightlifting,cannabinoids,3-month suspension with 3-month deferral - loss of results,
*name removed,track and field,finasteride & 6-oxo-androstenedione and its metabolite 6a-hydroxyandrostenehione,8-year suspension with 4-year reduction - loss of results,
*name removed,wrestling,cannabinoids,3-month suspension with 3-month deferral - loss of results,
"hamilton, tyler","cycling, triathlon",blood transfusion,2-year suspension - loss of results,02/11/2006
"zajicek, philip",cycling,cathine (norpseudoephedrine),public warning - loss of results,10/13/2004
*name removed,weightlifting,elevated t/e,6-year suspension - loss of results,
"cox, crystal",track and field,ephedrine,public warning - loss of results,10/17/2002
"dickey, duane",cycling,"phentermine, boldenone and nandrolone",1-year suspension - loss of results,08/30/2002
*name removed,track and field,amphetamine,2-year suspension - loss of results -  granted early reinstatement,
"o'bee, kirk",cycling,elevated t/e,1-year suspension - loss of results,07/18/2002
*name removed,table tennis,19-norandrosterone (19-na) and 19-noretiocholanolone,2-year suspension - loss of results,
"dees, tony",track and field,19-norandrosterone (19-na)and 19-noretiocholanolone,lifetime suspension - loss of results; second violation,09/17/2001
*name removed,gymnastics,triamcinolone acetonide,public warning - loss of results,
*name removed,cycling,cannabinoids,3-month suspension with 3-month deferral - loss of results,
*name removed,paralympic track and field,cannabinoids,3-month suspension with 3-month deferral - loss of results,
*name removed,paralympic track and field,cannabinoids,3-month suspension with 3-month deferral - loss of results,
*name removed,basketball,salmeterol,public warning - loss of results,
*name removed,gymnastics,triamcinolone acetonide,public warning - loss of results,
*name removed,track and field,salbutamol,public warning - loss of results,
*name removed,roller sports,cannabinoids,6-month suspension - loss of results,
*name removed,paralympic alpine skiing,chlorothiazide & hydrocholorthiazide,1-year suspension - loss of results,
*name removed,weightlifting,cannabinoids,3-month suspension - loss of results,
*name removed,track and field,hydrochlorothiazide,1-year suspension - loss of results,
*name removed,track and field,benzoylecgonine,1-year suspension - loss of results,
*name removed,wrestling,triamcinolone acetonide,public warning - loss of results,
*name removed,track and field,non-analytical: refusal to submit to sample collection,1-year suspension - loss of results,
*name removed,weightlifting,methylphenidate metabolite ritalinic acid,1-year suspension - loss of results,
*name removed,paralympic alpine skiing,non-analytical: missed tests,2-year suspension - loss of results,
*name removed,cycling,non-analytical: missed tests,2-year suspension - loss of results,
*name removed,track and field,hydrochlorothiazide & triamterene,2-year suspension - loss of results,
*name removed,track and field,cannabinoids,2-year suspension - loss of results; second violation,
*name removed,paralympic basketball,formestane (4-hydroxyandrostendione),2-year suspension - loss of results,
*name removed,ice hockey,19-norandrosterone (19-na) and 19-noretiocholanolone,2-year suspension - loss of results,
*name removed,track and field,"non-analytical: use (epo, testosterone/epitestosterone cream & thg)",8-year suspension - loss of results,
*name removed,track and field,"non-analytical: use (anabolic steroids, insulin, epo, hgh and modafinil)",4-year suspension - loss of results,
*name removed,track and field,tetrahydrogestrinone (thg),4-year suspension - loss of results,
*name removed,team handball,non-analytical: refusal to submit to sample collection,2-year suspension - loss of results,
*name removed,swimming,non-analytical: refusal to submit to sample collection,4-year suspension,
*name removed,paralympic powerlifting,boldenone,2-year suspension - loss of results,
*name removed,skiing and snowboarding,cannabinoids,1-year suspension - loss of results,
*name removed,rowing,non-analytical: missed tests,2-year suspension,
*name removed,cycling,erythropoietin (epo),2-year suspension,
*name removed,cycling,19-norandrosterone (19-na) and 19-noretiocholanolone,8-month suspension - loss of results,
*name removed,paralympic track and field,pseuedoephedrine,public warning - loss of results,
*name removed,track and field,ephedrine,9-month suspension with 3 months deferral - loss of results,
*name removed,track and field,salbutamol,public warning - loss of results,
*name removed,track and field,pseudoephdrine,public warning - loss of results,
*name removed,diving,ephedrine,2 month suspension - loss of results,
*name removed,karate,pseudoephedrine,1-month suspension - loss of results,
*name removed,swimming,boldione,2-year suspension - loss of results,
*name removed,fencing,pseudoephdrine,3-month suspension - loss of results,
*name removed,track and field,cannabinoids,public warning - loss of results,
*name removed,track and field,amphetamine,2-year suspension - loss of results,
*name removed,track and field,salbutamol,public warning - loss of results,
*name removed,boxing,furosemide,2-year suspension - loss of results,
*name removed,track and field,19-norandrosterone (19-na),2-year suspension - loss of results,
*name removed,track and field,pseudoephedrine,public warning - loss of results,
*name removed,track and field,methandienone (dianabol),2-year suspension - loss of results,
*name removed,judo,non-analytical: missed tests,2-year suspension,
*name removed,bobsled and skeleton,stanozolol,2-year suspension - loss of results,
*name removed,track and field,ephedrine,public warning - loss of results,
*name removed,judo,metabolites of androstenedione,2-year suspension - loss of results,
*name removed,cycling,erythropoietin (epo),2-year suspension - loss of results,
*name removed,cycling,non-analytical: use (testosterone & epo),2-year suspension with 7-month reduction - loss of results,
*name removed,track and field,19-norandrosterone (19-na)and 19-noretiocholanolone,2-year suspension - loss of results,
*name removed,cycling,cannabinoids,public warning - loss of results,
*name removed,swimming,non-analytical: refusal to submit to sample collection,2-year suspension,
*name removed,cycling,phentermine,2-year suspension - loss of results,
*name removed,track and field,cannabinoids,public warning - loss of results,
*name removed,track and field,nikethamide,2-year suspension - loss of results,
*name removed,track and field,19-norandrosterone and elevated t/e,2-year suspension - loss of results,
*name removed,paralympic sled hockey,hydrochlorothiazide,1-year suspension - loss of results,
*name removed,karate,ephedrine,1-month suspension - loss of results,
*name removed,cycling,elevated t/e,2-year suspension - loss of results,
*name removed,weightlifting,cannabinoids,9-month suspension with 3-month deferral - loss of results; second violation,
*name removed,weightlifting,pseudoephedrine,3-month suspension - loss of results,
*name removed,cycling,oxymetholone,2-year suspension - loss of results,
*name removed,roller sports,"androgenic anabolic steroid, 19-norandrosterone (19-na), and human chorionic gonadotrophin (hcg)",2-year suspension - loss of results,
*name removed,track and field,non-analytical,2-year suspension - loss of results; second violation,
*name removed,track and field,modafinil,public warning - loss of results,
*name removed,weightlifting,elevated t/e,2-year suspension - loss of results,
*name removed,swimming,cannabinoids,3-month suspension - loss of results,
*name removed,track and field,modafinil,public warning - loss of results,
*name removed,weightlifting,elevated t/e,2-year suspension - loss of results,
*name removed,cycling,ephedrine,public warning - loss of results,
*name removed,track and field,19-norandrosterone (19-na),2-year suspension - loss of results,
*name removed,track and field,ephedrine,public warning - loss of results,
*name removed,cycling,clenbuterol,3-month suspension - loss of results,
*name removed,archery,non-analytical: refusal to submit to sample collection,2-year suspension - loss of results,
*name removed,track and field,pseudoephdrine,public warning - loss of results,
*name removed,cycling,ephedrine,1-month suspension - loss of results,
*name removed,track and field,amphetamine,1-year suspension - loss of results,
*name removed,track and field,modafinil,2-year suspension - loss of results,
*name removed,judo,androgenic anabolic steroid,2-year suspension - loss of results,
*name removed,weightlifting,stanozolol metabolites,2-year suspension - loss of results,
*name removed,track and field,erythropoietin (epo),2-year suspension - sanction modified to include loss of results,
*name removed,track and field,methandienone (dianabol),2-year suspension - loss of results,
*name removed,paralympic basketball,19-norandrosterone (19-na) and 19-noretiocholanolone,2-year suspension - loss of results,
*name removed,synchronized swimming,non-analytical: refusal to submit to sample collection,2-year suspension,
*name removed,cycling,cannabinoids,1-year suspension - loss of results,
*name removed,track and field,ephedrine,public warning - loss of results,
*name removed,figure skating,non-analytical: refusal to submit to sample collection,2-year suspension - loss of results,
*name removed,fencing,amphetamine,1-year suspension - loss of results,
*name removed,cycling,erythropoietin (epo),2-year suspension - loss of results; second violation,
*name removed,cycling,non-analytical: failure to appear to sample collection,public warning,
*name removed,track and field,cannabinoids,3-month suspension with 3-month deferral - loss of results,
*name removed,track and field,elevated t/e,2-year suspension - loss of results,
*name removed,bobsled and skeleton,19-norandrosterone (19-na) and 19-noretiocholanolone,2-year suspension - loss of results,
*name removed,bobsled and skeleton,methandienone,2-year suspension - loss of results,
*name removed,cycling,cannabinoids,1-year suspension - loss of results,
*name removed,wrestling,metoprolol,3-month suspension with 3-month deferral - loss of results,
*name removed,bobsled and skeleton and track and field,non-analytical: manipulation of forms & stanozolol,2-year suspension - loss of results,
*name removed,paralympic archery,metoprolol,public warning - loss of results,
*name removed,boxing,ephedrine,public warning - loss of results,
*name removed,swimming,pseuedoephedrine,public warning - loss of results,
*name removed,taekwondo,l-methamphetamine,3-month suspension with 3-month deferral - loss of results,
*name removed,bobsled and skeleton,finasteride,1-year suspension - loss of results,
*name removed,softball,19-norandrosterone and 19-noretiocholanolone,2-year suspension - loss of results,
*name removed,curling,non-analytical: refusal to submit to sample collection,2-year suspension - loss of results,
*name removed,weightlifting,ephedrine,6-month suspension - loss of results,
*name removed,track and field,tetrahydrogestrinone (thg) and modafinil,2-year suspension - loss of results,
*name removed,softball,androstenedione,2-year suspension - loss of results,
*name removed,cycling,non-analytical: failure to appear to sample collection,3-month suspension,
*name removed,skiing and snowboarding,pseudoephdrine,3-month suspension - loss of results,
*name removed,bobsled and skeleton,elevated t/e,2-year suspension - loss of results,
*name removed,cycling,19-norandrosterone,1-year suspension - loss of results,
*name removed,track and field,non-analytical,2-year suspension - loss of results,
*name removed,track and field,tetrahydrogestrinone (thg),2-year suspension - loss of results,
*name removed,cycling,19-norandrosterone (19-na),6-month suspension - loss of results,
*name removed,skiing and snowboarding,methylphenidate,2-year suspension - loss of results,
*name removed,bobsled and skeleton,elevated t/e,2-year suspension - loss of results,
*name removed,boxing,19-norandrosterone (19-na) and 19-noretiocholanolone,18-month suspension - loss of results,
*name removed,wrestling,"testosterone, methandienone (dianabol) and stanzolol",2-year suspension - loss of results,
*name removed,track and field,modafinil,public warning - loss of results,
*name removed,swimming,non-analytical: refusal to submit to sample collection,4-year suspension - loss of results,
*name removed,sailing,non-analytical: refusal to submit to sample collection,2-year suspension,
*name removed,cycling,19-norandrosterone and 19-noretiocholanolone,2-year suspension - loss of results,
*name removed,skiing and snowboarding,cannabinoids,10-month suspension with 7-month reduction - loss of results,
*name removed,weightlifting,hydrochlorothiazide,2-year suspension - loss of results,
*name removed,cycling,phentermine,2-year suspension - loss of results,
*name removed,paralympic track and field,ephedrine,2 month suspension -  loss of results,
*name removed,swimming,pseuedoephedrine,public warning - loss of results,
*name removed,track and field,cannabinoids,public warning - loss of results,
*name removed,cycling,non-analytical: failure to appear to sample collection,1-year suspension - loss of results,
*name removed,wrestling,phentermine,2-year suspension - loss of results,
*name removed,paralympic sled hockey,non-analytical: refusal to submit to sample collection,2-year suspension - loss of results,
*name removed,weightlifting,cannabinoids,3-month suspension with 3-month deferral - loss of results,
*name removed,cycling,erythropoietin (epo),2-year suspension - loss of results,
*name removed,cycling,non-analytical: refusal to submit to sample collection,2-year suspension - loss of results,
*name removed,track and field,ephedrine,public warning - loss of results,
*name removed,track and field,amphetamine,2-year suspension - loss of results -  granted early reinstatement,
*name removed,bobsled and skeleton,non-analytical: refusal to submit to sample collection,2-year suspension,
*name removed,swimming,ephedrine,2 month suspension - loss of results,
*name removed,track and field,androstendione,2-year suspension - loss of results,
*name removed,baseball,19-norandrosterone (19-na) and 19-noretiocholanolone,2-year suspension - loss of results,
*name removed,track and field,ephedrine,public warning - loss of results,
*name removed,taekwondo,cannabinoids,3-month suspension with 3-month deferral - loss of results,
*name removed,cycling,cannabinoids,3-month suspension with 3-month deferral - loss of results,
*name removed,speedskating,pseuedoephedrine,public warning - loss of results,
*name removed,cycling,androgenic anabolic steroid and erythropoietin (epo),2-year suspension - loss of results,
*name removed,track and field,modafinil,public warning - loss of results,
*name removed,fencing,l-methamphetamine,public warning - loss of results,
*name removed,track and field,tetrahydrogestrinone (thg) and modafinil,2-year suspension - loss of results,
*name removed,baseball,19-norandrosterone (19-na) and 19-noretiocholanolone,2-year suspension - loss of results,
*name removed,cycling,pseudoephedrine,public warning - loss of results,
*name removed,boxing,non-analytical: refusal to submit to sample collection,2-year suspension,
*name removed,swimming,19-norandrosterone,2-year suspension - loss of results,
*name removed,track and field,19-norandrosterone (19-na),2-year suspension - loss of results,
*name removed,track and field,amphetamine & methamphetamine,2-year suspension - loss of results,
*name removed,track and field,methylphenidate,2-year suspension - loss of results,
*name removed,swimming,methylphenidate,2-year suspension - loss of results,
*name removed,track and field,"modafinil and non-analytical: use (epo, anabolic steroids)",2-year suspension - loss of results,
*name removed,track and field,methylphenidate,10-month suspension - loss of results,
*name removed,track and field,cannabinoids,public warning - loss of results,
*name removed,boxing,cannabinoids,3-month suspension with 3-month deferral - loss of results,
*name removed,fencing,pseudoephdrine,3-month suspension - loss of results,
*name removed,track and field,erythropoietin (epo),2-year suspension - loss of results,
*name removed,skiing and snowboarding,cannabinoids,2-year suspension - loss of results,
