"athlete","sport","substance_reason","sanction_terms","sanction_announced","sanction_date","support_personnel","paralympic","multiple_sports","sanction_type","substance_cat","substance_group"
"morelli, shawn","paralympic cycling","methylhexaneamine","180 day suspension - loss of results","11/15/2013",2013-11-15,FALSE,TRUE,FALSE,"analytic","single","S6 STIMULANTS"
"camarena-williams, jillian","track & field","clomiphene","6-month suspension - loss of results","10/04/2013",2013-10-04,FALSE,FALSE,FALSE,"analytic","single","S4 HORMONE AND METABOLIC MODULATORS"
"walden, spencer","track & field","cannabinoids","6-month suspension with 3-month deferral - loss of results","09/20/2013",2013-09-20,FALSE,FALSE,FALSE,"analytic","single","S8 CANNABINOIDS"
"bradley, dominique","wrestling","methylhexaneamine","8-month suspension - loss of results","09/06/2013",2013-09-06,FALSE,FALSE,FALSE,"analytic","single","S6 STIMULANTS"
"aira, yoelkis","cycling","phentermine","2-year suspension - loss of results","09/05/2013",2013-09-05,FALSE,FALSE,FALSE,"analytic","single","S6 STIMULANTS"
"ramos, don","weightlifting","androgenic anabolic steroid","2-year suspension - loss of results","08/30/2013",2013-08-30,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"flood, gregory","rowing","glycerol","public warning - loss of results","08/20/2013",2013-08-20,FALSE,FALSE,FALSE,"analytic","single","S5 DIURETICS/MASKING AGENTS"
"petrucci, frank","rowing","glycerol","public warning - loss of results","08/20/2013",2013-08-20,FALSE,FALSE,FALSE,"analytic","single","S5 DIURETICS/MASKING AGENTS"
"dyer, kristopher","weightlifting","methylhexaneamine","9-month suspension - loss of results","08/09/2013",2013-08-09,FALSE,FALSE,FALSE,"analytic","single","S6 STIMULANTS"
"wilhelm, brian","weightlifting","methylhexaneamine","9-month suspension - loss of results","08/08/2013",2013-08-08,FALSE,FALSE,FALSE,"analytic","single","S6 STIMULANTS"
"ostrowski, cameron","track & field","methylhexaneamine","2-year suspension with 1 year reduction - loss of results","06/07/2013",2013-06-07,FALSE,FALSE,FALSE,"analytic","single","S6 STIMULANTS"
"pol rodriguez, yosmani","cycling","dexamethasone","2-year suspension - loss of results","04/19/2013",2013-04-19,FALSE,FALSE,FALSE,"analytic","single","S9 GLUCOCORTICOIDS"
"morales, erik","professional boxing","clenbuterol","2-year suspension - loss of results","03/22/2013",2013-03-22,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"jay-rayon, cyril","cycling","modafinil","18-month suspension - loss of results","12/31/2012",2012-12-31,FALSE,FALSE,FALSE,"analytic","single","S6 STIMULANTS"
"cruz, julio","cycling","methylhexaneamine","6-month suspension - loss of results","09/14/2012",2012-09-14,FALSE,FALSE,FALSE,"analytic","single","S6 STIMULANTS"
"dunn anderson, debbie","track & field","androgenic anabolic steroid","2-year suspension - loss of results","09/11/2012",2012-09-11,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"guarini, gabriele","cycling","erythropoietin (epo)","2-year suspension - loss of results","09/07/2012",2012-09-07,FALSE,FALSE,FALSE,"analytic","single","S2 PEP HORMONES/G FACTORS/MIMETICS"
"anthony, david","cycling","erythropoietin (epo)","2-year suspension - loss of results","07/25/2012",2012-07-25,FALSE,FALSE,FALSE,"analytic","single","S2 PEP HORMONES/G FACTORS/MIMETICS"
"lee, stephany","wrestling","cannabinoids","1-year suspension - loss of results; second violation","06/28/2012",2012-06-28,FALSE,FALSE,FALSE,"analytic","single","S8 CANNABINOIDS"
"mendes, patrick","weightlifting","human growth hormone (hgh)","2-year suspension - loss of results","04/16/2012",2012-04-16,FALSE,FALSE,FALSE,"analytic","single","S2 PEP HORMONES/G FACTORS/MIMETICS"
"robertson, todd","cycling","erythropoietin (epo)","2-year suspension with 9 month reduction - loss of results","03/30/2012",2012-03-30,FALSE,FALSE,FALSE,"analytic","single","S2 PEP HORMONES/G FACTORS/MIMETICS"
"brandt-sorenson, nick","cycling","efaproxiral","2-year suspension - loss of results","01/13/2012",2012-01-13,FALSE,FALSE,FALSE,"analytic","single","M1 MANIPULATION OF BLOOD"
"tadd, nathaniel","taekwondo","methylhexaneamine","2-year suspension - loss of results; sanction was tolled due to whereabouts compliance failure","11/17/2011",2011-11-17,FALSE,FALSE,FALSE,"analytic","single","S6 STIMULANTS"
"jager, kathleen","track & field","androgenic anabolic steroid","2-year suspension - loss of results","10/18/2011",2011-10-18,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"lorenz, john","wrestling","clomiphene","2-year suspension - loss of results","10/10/2011",2011-10-10,FALSE,FALSE,FALSE,"analytic","single","S4 HORMONE AND METABOLIC MODULATORS"
"dibuono, matthew","track & field","androgenic anabolic steroid","4-year suspension - loss of results","10/07/2011",2011-10-07,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"shumaker, stephen","track & field","androgenic anabolic steroid","2-year suspension - loss of results","09/30/2011",2011-09-30,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"clinger, david","cycling","clenbuterol","lifetime suspension - loss of results; second violation","08/12/2011",2011-08-12,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"brown, matthew","paralympic track & field","cannabinoids","3-month suspension with 3-month deferral - loss of results","07/18/2011",2011-07-18,FALSE,TRUE,FALSE,"analytic","single","S8 CANNABINOIDS"
"o'bee, kirk","cycling","erythropoietin (epo)","lifetime - loss of results; second violation","10/06/2010",2010-10-06,FALSE,FALSE,FALSE,"analytic","single","S2 PEP HORMONES/G FACTORS/MIMETICS"
"hamilton, tyler","cycling","androgenic anabolic steroid","8-year suspension - loss of results; second violation","06/16/2009",2009-06-16,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"lee, stephany","wrestling","cannabinoids","3-month suspension with 3-month deferral - loss of results","05/13/2009",2009-05-13,FALSE,FALSE,FALSE,"analytic","single","S8 CANNABINOIDS"
"zajicek, philip","cycling","cathine (norpseudoephedrine)","public warning - loss of results","10/13/2004",2004-10-13,FALSE,FALSE,FALSE,"analytic","single","S6 STIMULANTS"
"cox, crystal","track & field","ephedrine","public warning - loss of results","10/17/2002",2002-10-17,FALSE,FALSE,FALSE,"analytic","single","S6 STIMULANTS"
"o'bee, kirk","cycling","elevated t/e","1-year suspension - loss of results","07/18/2002",2002-07-18,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"dees, tony","track & field","19-norandrosterone (19-na)and 19-noretiocholanolone","lifetime suspension - loss of results; second violation","09/17/2001",2001-09-17,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"ngetich, eliud","track & field","nandrolone","1-year suspension; loss of results","original: 09/03/21; updated: 01/25/22",22-01-25,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"gehm, zach","track & field","1,4‐dimethylpentylamine (1,4‐dmpa)","2-year suspension; loss of results; additional 3 months of suspension","original:  11/04/2019;updated: 05/17/2021",2021-05-17,FALSE,FALSE,FALSE,"analytic","single","S6 STIMULANTS"
"hudson, ryan","weightlifting","dehydrochloromethyltestosterone (dhcmt)","8-year suspension; loss of results","original 12/20/2018; updated 11/04/2020",2020-11-04,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"paparella, flavia","cycling","vilanterol","6-month suspension; loss of results - sanction reduced","original: 10/19/2020updated: 01/05/2021",2021-01-05,FALSE,FALSE,FALSE,"analytic","single","S3 BETA-2 AGONISTS"
"murdock, vince","mixed martial arts","gw1516","20-month suspension - sanction reduced","original: 09/05/2019; updated: 08/26/2020",2020-08-26,FALSE,FALSE,FALSE,"analytic","single","S4 HORMONE AND METABOLIC MODULATORS"
"rante, danielle","weightlifting","19-norandrosterone (19-na)","4-year suspension; loss of results - sanction reduced","original: 07/22/2020, updated: 11/03/2022",2022-11-03,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"werdum, fabricio","mixed martial arts","trenbolone","2-year suspension - sanction reduced","original 09/11/2018; updated 01/16/2020",2020-01-16,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"jones, stirley","paralympic track & field","stanozolol","4-year suspension; loss of results","original: 06/17/2019; updated: 12/16/2019",2019-12-16,FALSE,TRUE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"hay, amy","weightlifting","ostarine","2-year suspension; loss of results; sanction reduced; unretired - eligible to compete starting 07/25/2020","original: 10/31/2017; updated: 12/16/2019",2019-12-16,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"orbon, joane","karate","lgd-4033","9-month suspension; loss of results","original: 08/12/2019; updated: 09/10/2019",2019-09-10,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"ribas, amanda","mixed martial arts","ostarine","2-year suspension - sanction reduced","original: 01/10/2018; updated 05/03/2019",2019-05-03,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"miyao, paulo","brazilian jiu-jitsu","clomiphene","2-year suspension - loss of results; additional 3 months of suspension - loss of results","original: 05/10/2017;updated: 11/27/2018",2018-11-27,FALSE,FALSE,FALSE,"analytic","single","S4 HORMONE AND METABOLIC MODULATORS"
"thomas, tammy","cycling","norbolethone","lifetime ban - loss of results - sanction reduced","original: 08/30/2002; updated: 02/13/2017",2017-02-13,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"tovar, oscar","cycling","androgenic anabolic steroid","2-year suspension - loss of results - additional results disqualified","original: 10/28/2015; updated: 10/04/2016",2016-10-04,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"lea, robert","cycling","noroxycodone","6-month suspension - loss of results","original: 12/17/2015; updated: 02/25/2016",2016-02-25,FALSE,FALSE,FALSE,"analytic","single","S7 NARCOTICS"
"oliveira, flavia","cycling","oxilofrine","18-month suspension - loss of results","original: 04/13/2010; updated 12/10/2010",2010-12-10,FALSE,FALSE,FALSE,"analytic","single","S6 STIMULANTS"
"cruse, j.c.","bobsled","dimethylbutylamine (dmba)","16-month suspension - loss of results","07/20/2017",2017-07-20,FALSE,FALSE,TRUE,"analytic","single","S6 STIMULANTS"
"cruse, j.c.","skeleton","dimethylbutylamine (dmba)","16-month suspension - loss of results","07/20/2017",2017-07-20,FALSE,FALSE,TRUE,"analytic","single","S6 STIMULANTS"
"schrodt, patrick ""dillon""","bobsled","dimethylbutylamine (dmba)","16-month suspension - loss of results","04/06/2017",2017-04-06,FALSE,FALSE,TRUE,"analytic","single","S6 STIMULANTS"
"schrodt, patrick ""dillon""","skeleton","dimethylbutylamine (dmba)","16-month suspension - loss of results","04/06/2017",2017-04-06,FALSE,FALSE,TRUE,"analytic","single","S6 STIMULANTS"
"green, roderick","paralympic track & field","ostarine","9-month suspension - loss of results","03/14/2017",2017-03-14,FALSE,TRUE,TRUE,"analytic","single","S1 ANABOLIC AGENTS"
"green, roderick","paralympic volleyball","ostarine","9-month suspension - loss of results","03/14/2017",2017-03-14,FALSE,TRUE,TRUE,"analytic","single","S1 ANABOLIC AGENTS"
"teeple, sloan","cycling","androgenic anabolic steroid","18-month suspension - loss of results","06/28/2013",2013-06-28,FALSE,FALSE,TRUE,"analytic","single","S1 ANABOLIC AGENTS"
"teeple, sloan","triathlon","androgenic anabolic steroid","18-month suspension - loss of results","06/28/2013",2013-06-28,FALSE,FALSE,TRUE,"analytic","single","S1 ANABOLIC AGENTS"
"hamilton, tyler","cycling","blood transfusion","2-year suspension - loss of results","02/11/2006",2006-02-11,FALSE,FALSE,TRUE,"analytic","single","M1 MANIPULATION OF BLOOD"
"hamilton, tyler","triathlon","blood transfusion","2-year suspension - loss of results","02/11/2006",2006-02-11,FALSE,FALSE,TRUE,"analytic","single","M1 MANIPULATION OF BLOOD"
"bailey, ryan","bobsled","1,3-dimethylbutylamine (dmba)","2-year suspension with 161 day credit - loss of results","original: 08/03/2017; updated: 12/01/2017",2017-12-01,FALSE,FALSE,TRUE,"analytic","single","S6 STIMULANTS"
"bailey, ryan","skeleton","1,3-dimethylbutylamine (dmba)","2-year suspension with 161 day credit - loss of results","original: 08/03/2017; updated: 12/01/2017",2017-12-01,FALSE,FALSE,TRUE,"analytic","single","S6 STIMULANTS"
"bailey, ryan","track & field","1,3-dimethylbutylamine (dmba)","2-year suspension with 161 day credit - loss of results","original: 08/03/2017; updated: 12/01/2017",2017-12-01,FALSE,FALSE,TRUE,"analytic","single","S6 STIMULANTS"
"rodriguez, daniel","mixed martial arts","ostarine","3-month suspenion","12/14/2023",2023-12-14,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"rodriguez, daniel","mixed martial arts","lgd-4033","3-month suspenion","12/14/2023",2023-12-14,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"forrest, evan","weightlifting","boldenone","3-year suspension; loss of results","11/30/2023",2023-11-30,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"forrest, evan","weightlifting","drostanolone","3-year suspension; loss of results","11/30/2023",2023-11-30,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"forrest, evan","weightlifting","methandienone","3-year suspension; loss of results","11/30/2023",2023-11-30,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"forrest, evan","weightlifting","nandrolone","3-year suspension; loss of results","11/30/2023",2023-11-30,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"forrest, evan","weightlifting","testosterone","3-year suspension; loss of results","11/30/2023",2023-11-30,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"whitham, roger","cycling","boldenone","3-year suspension; loss of results","07/19/2023",2023-07-19,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"whitham, roger","cycling","gw1516","3-year suspension; loss of results","07/19/2023",2023-07-19,FALSE,FALSE,FALSE,"analytic","multiple","S4 HORMONE AND METABOLIC MODULATORS"
"whitham, roger","cycling","ibutamoren","3-year suspension; loss of results","07/19/2023",2023-07-19,FALSE,FALSE,FALSE,"analytic","multiple","S2 PEP HORMONES/G FACTORS/MIMETICS"
"whitham, roger","cycling","ostarine","3-year suspension; loss of results","07/19/2023",2023-07-19,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"de souza, jose","mixed martial arts","19-norandrosterone","2-year suspension","06/01/2023",2023-06-01,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"de souza, jose","mixed martial arts","19-noretiocholanolone","2-year suspension","06/01/2023",2023-06-01,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"schober, zachary","weightlifting","amphetamine","4-year suspension; loss of results","04/19/2023",2023-04-19,FALSE,FALSE,FALSE,"analytic","multiple","S6 STIMULANTS"
"schober, zachary","weightlifting","methylphenidate","4-year suspension; loss of results","04/19/2023",2023-04-19,FALSE,FALSE,FALSE,"analytic","multiple","S6 STIMULANTS"
"schober, zachary","weightlifting","gw1516","4-year suspension; loss of results","04/19/2023",2023-04-19,FALSE,FALSE,FALSE,"analytic","multiple","S4 HORMONE AND METABOLIC MODULATORS"
"da silva, jonnatas gracie araujo","brazilian jiu-jitsu","19-norandrosterone (19-na)","3-year suspension; loss of results","03/08/2023",2023-03-08,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"da silva, jonnatas gracie araujo","brazilian jiu-jitsu","testosterone","3-year suspension; loss of results","03/08/2023",2023-03-08,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"cardoso, josé henrique","brazilian jiu-jitsu","19-norandrosterone (19-na)","3-year suspension; loss of results","03/08/2023",2023-03-08,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"cardoso, josé henrique","brazilian jiu-jitsu","2a-methyl-5a-androstan-3a-ol-17-one","3-year suspension; loss of results","03/08/2023",2023-03-08,FALSE,FALSE,FALSE,"analytic","multiple","S4 HORMONE AND METABOLIC MODULATORS"
"cardoso, josé henrique","brazilian jiu-jitsu","epitrenbolone","3-year suspension; loss of results","03/08/2023",2023-03-08,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"cardoso, josé henrique","brazilian jiu-jitsu","methasterone","3-year suspension; loss of results","03/08/2023",2023-03-08,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"cardoso, josé henrique","brazilian jiu-jitsu","testosterone","3-year suspension; loss of results","03/08/2023",2023-03-08,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"ruiz-gutierrez, noslen","cycling","dexamethasone","4-year suspension; loss of results","01/04/2023",2023-01-04,FALSE,FALSE,FALSE,"analytic","multiple","S9 GLUCOCORTICOIDS"
"ruiz-gutierrez, noslen","cycling","phentermine","4-year suspension; loss of results","01/04/2023",2023-01-04,FALSE,FALSE,FALSE,"analytic","multiple","S6 STIMULANTS"
"ruiz-gutierrez, noslen","cycling","19-noretiocholanolone (19-ne)","4-year suspension; loss of results","01/04/2023",2023-01-04,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"ruiz-gutierrez, noslen","cycling","19-norandrosterone (19-na)","4-year suspension; loss of results","01/04/2023",2023-01-04,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"ruiz-gutierrez, noslen","cycling","anabolic agent","4-year suspension; loss of results","01/04/2023",2023-01-04,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"roberts, gil","track & field","andarine","16-month suspension; loss of results","12/08/2022",2022-12-08,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"roberts, gil","track & field","ostarine","16-month suspension; loss of results","12/08/2022",2022-12-08,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"rodriguez ocasio, christian","weightlifting","heptaminol","12-month suspension; loss of results","11/30/2022",2022-11-30,FALSE,FALSE,FALSE,"analytic","multiple","S6 STIMULANTS"
"rodriguez ocasio, christian","weightlifting","octodrine","12-month suspension; loss of results","11/30/2022",2022-11-30,FALSE,FALSE,FALSE,"analytic","multiple","S6 STIMULANTS"
"mead, hassan","track & field","ostarine","3-year suspension; loss of results; sanction tolled due to retirement","11/29/2022",2022-11-29,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"mead, hassan","track & field","lgd-4033","3-year suspension; loss of results; sanction tolled due to retirement","11/29/2022",2022-11-29,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"bringas, joshua","weightlifting","heptaminol","3-year suspension; loss of results","09/26/2022",2022-09-26,FALSE,FALSE,FALSE,"analytic","multiple","S6 STIMULANTS"
"bringas, joshua","weightlifting","ibutamoren","3-year suspension; loss of results","09/26/2022",2022-09-26,FALSE,FALSE,FALSE,"analytic","multiple","S2 PEP HORMONES/G FACTORS/MIMETICS"
"bringas, joshua","weightlifting","oxilofrine","3-year suspension; loss of results","09/26/2022",2022-09-26,FALSE,FALSE,FALSE,"analytic","multiple","S6 STIMULANTS"
"bringas, joshua","weightlifting","gw1516","3-year suspension; loss of results","09/26/2022",2022-09-26,FALSE,FALSE,FALSE,"analytic","multiple","S4 HORMONE AND METABOLIC MODULATORS"
"allen, sabina","track & field","phentermine","4-year suspension; loss of results","06/09/2022",2022-06-09,FALSE,FALSE,FALSE,"analytic","multiple","S6 STIMULANTS"
"allen, sabina","track & field","lgd-4033","4-year suspension; loss of results","06/09/2022",2022-06-09,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"wilson, ian","weightlifting","stanozolol","3-year suspension; loss of results","02/03/2022; loss of results",2022-02-03,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"wilson, ian","weightlifting","drostanolone","3-year suspension; loss of results","02/03/2022; loss of results",2022-02-03,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"prazeres, michel","mixed martial arts","clomiphene","4-year suspension","12/23/2021",2021-12-23,FALSE,FALSE,FALSE,"analytic","multiple","S4 HORMONE AND METABOLIC MODULATORS"
"prazeres, michel","mixed martial arts","oxandrolone","4-year suspension","12/23/2021",2021-12-23,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"prazeres, michel","mixed martial arts","androgenic anabolic steroid","4-year suspension","12/23/2021",2021-12-23,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"adel, jordan","weightlifting","ostarine","3-year suspension; loss of results","11/30/2021",2021-11-30,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"adel, jordan","weightlifting","lgd-4033","3-year suspension; loss of results","11/30/2021",2021-11-30,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"adel, jordan","weightlifting","ibutamoren","3-year suspension; loss of results","11/30/2021",2021-11-30,FALSE,FALSE,FALSE,"analytic","multiple","S2 PEP HORMONES/G FACTORS/MIMETICS"
"tran, hillary","weightlifting","cocaine","1-year suspension; loss of results","10/28/2021",2021-10-28,FALSE,FALSE,FALSE,"analytic","multiple","S6 STIMULANTS"
"tran, hillary","weightlifting","d-methamphetamine","1-year suspension; loss of results","10/28/2021",2021-10-28,FALSE,FALSE,FALSE,"analytic","multiple","S6 STIMULANTS"
"lacoste, jacob","weightlifting","clomiphene","3-year suspension; loss of results","09/29/2021",2021-09-29,FALSE,FALSE,FALSE,"analytic","multiple","S4 HORMONE AND METABOLIC MODULATORS"
"lacoste, jacob","weightlifting","19-norandrosterone (19-na)","3-year suspension; loss of results","09/29/2021",2021-09-29,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"storie, logan","pentathlon","ostarine","6-year suspension; second violation - sanction was tolled due to retirement; unretired so is eligible to compete starting 12/31/2026","08/06/2021",2021-08-06,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"storie, logan","pentathlon","lgd‐4033","6-year suspension; second violation - sanction was tolled due to retirement; unretired so is eligible to compete starting 12/31/2026","08/06/2021",2021-08-06,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"storie, logan","pentathlon","gw1516","6-year suspension; second violation - sanction was tolled due to retirement; unretired so is eligible to compete starting 12/31/2026","08/06/2021",2021-08-06,FALSE,FALSE,FALSE,"analytic","multiple","S4 HORMONE AND METABOLIC MODULATORS"
"prince, david","paralympic track & field","ostarine","12-month suspension; loss of results","06/29/2021",2021-06-29,FALSE,TRUE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"prince, david","paralympic track & field","lgd‐4033","12-month suspension; loss of results","06/29/2021",2021-06-29,FALSE,TRUE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"gallardo, luis","weightlifting","oxymetholone","4-year suspension; loss of results","06/03/2021",2021-06-03,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"gallardo, luis","weightlifting","dehydrochloromethyltestosterone (dhcmt)","4-year suspension; loss of results","06/03/2021",2021-06-03,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"gallardo, luis","weightlifting","arimistane","4-year suspension; loss of results","06/03/2021",2021-06-03,FALSE,FALSE,FALSE,"analytic","multiple","S4 HORMONE AND METABOLIC MODULATORS"
"gallardo, luis","weightlifting","torasemide","4-year suspension; loss of results","06/03/2021",2021-06-03,FALSE,FALSE,FALSE,"analytic","multiple","S5 DIURETICS/MASKING AGENTS"
"pessoa nunes, raphael","mixed martial arts","hydrochlorothiazide (hctz)","2-year suspension","05/03/2021",2021-05-03,FALSE,FALSE,FALSE,"analytic","multiple","S5 DIURETICS/MASKING AGENTS"
"pessoa nunes, raphael","mixed martial arts","possession","2-year suspension","05/03/2021",2021-05-03,FALSE,FALSE,FALSE,"non-analytic","multiple",NA
"pessoa nunes, raphael","mixed martial arts","use/attempted use","2-year suspension","05/03/2021",2021-05-03,FALSE,FALSE,FALSE,"non-analytic","multiple",NA
"pessoa nunes, raphael","mixed martial arts","evading sample collection","2-year suspension","05/03/2021",2021-05-03,FALSE,FALSE,FALSE,"non-analytic","multiple",NA
"aivazian, vahe","cycling","testosterone","4-year suspension; loss of results","04/15/2021",2021-04-15,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"aivazian, vahe","cycling","nandrolone","4-year suspension; loss of results","04/15/2021",2021-04-15,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"aivazian, vahe","cycling","dehydroepiandrosterone (dhea)","4-year suspension; loss of results","04/15/2021",2021-04-15,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"aivazian, vahe","cycling","somatropin (hgh)","4-year suspension; loss of results","04/15/2021",2021-04-15,FALSE,FALSE,FALSE,"analytic","multiple","S2 PEP HORMONES/G FACTORS/MIMETICS"
"aivazian, vahe","cycling","ipamorelin","4-year suspension; loss of results","04/15/2021",2021-04-15,FALSE,FALSE,FALSE,"analytic","multiple","S2 PEP HORMONES/G FACTORS/MIMETICS"
"aivazian, vahe","cycling","ghrp-6","4-year suspension; loss of results","04/15/2021",2021-04-15,FALSE,FALSE,FALSE,"analytic","multiple","S2 PEP HORMONES/G FACTORS/MIMETICS"
"aivazian, vahe","cycling","cjc-1295","4-year suspension; loss of results","04/15/2021",2021-04-15,FALSE,FALSE,FALSE,"analytic","multiple","S2 PEP HORMONES/G FACTORS/MIMETICS"
"aivazian, vahe","cycling","igf-1","4-year suspension; loss of results","04/15/2021",2021-04-15,FALSE,FALSE,FALSE,"analytic","multiple","S2 PEP HORMONES/G FACTORS/MIMETICS"
"aivazian, vahe","cycling","human chorionic gonadotropin (hcg)","4-year suspension; loss of results","04/15/2021",2021-04-15,FALSE,FALSE,FALSE,"analytic","multiple","S2 PEP HORMONES/G FACTORS/MIMETICS"
"aivazian, vahe","cycling","anastrozole","4-year suspension; loss of results","04/15/2021",2021-04-15,FALSE,FALSE,FALSE,"analytic","multiple","S4 HORMONE AND METABOLIC MODULATORS"
"pennington, raquel","mixed martial arts","7-keto-dhea","6-month suspension","01/28/2021",2021-01-28,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"pennington, raquel","mixed martial arts","aod-9064","6-month suspension","01/28/2021",2021-01-28,FALSE,FALSE,FALSE,"analytic","multiple","S2 PEP HORMONES/G FACTORS/MIMETICS"
"lewis-parry, chi","mixed martial arts","drostanolone","4-year suspension","12/04/2020",2020-12-04,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"lewis-parry, chi","mixed martial arts","stanozolol","4-year suspension","12/04/2020",2020-12-04,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"lewis-parry, chi","mixed martial arts","dehydrochloromethyltestosterone (dhcmt)","4-year suspension","12/04/2020",2020-12-04,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"lewis-parry, chi","mixed martial arts","tampering","4-year suspension","12/04/2020",2020-12-04,FALSE,FALSE,FALSE,"analytic","multiple","M2 CHEMICAL AND PHYSICAL MANIPULATION"
"gonzalez villa, jorge","mixed martial arts","stanozolol","2-year suspension","09/11/2020",2020-09-11,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"gonzalez villa, jorge","mixed martial arts","drostanolone","2-year suspension","09/11/2020",2020-09-11,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
